Method,RER(%),Normalized_Cost,RCEI
FSPO,0.8155723695955989,12.506219630709426,0.7433716194942771
StablePrompt-PPO,-53.10778237497237,431.73333333333335,-20.153107304527335
StablePrompt-PPO(cs=0),-4.373425776868836,74.6518197612762,-2.3349340353736654
StablePrompt-PPO(cs=0.05),-5.013961763923732,37.12217752463471,-3.1943520223727564
StablePrompt-PPO(cs=0.1),-4.611248602677575,74.6518197612762,-2.4619055763808473
