task_family,dataset,agent_model,method,ppo_used,cs,ca,metric,optimizer_name,metaprompt_style,num_fewshot,top_k,top_k_prompts,valset_size,num_iterations,total_iterations,epochs,train_size,batch_size,prompt_per_example,global_step,final_score,rollouts,rollouts_budget,test_size,input_tokens,output_tokens,real_cost_usd,estimated_cost_usd,runtime_mins,seed,project,run_name,run_id
QA,HOTPOTQA,Qwen3-8B,FSPO,False,,,,,,,1.0,,,,,,,,,,61.33,,,300.0,,,,,223.68,,hotpotqa-dynamic-fewshot,hotpot_qwen_subset50_20iter,trvbqp3c
QA,IFBENCH,GPT-4.1-mini,Baseline,False,,,,Baseline,,,1.0,,,,,,,,,,48.13,,,294.0,217107.0,244505.0,0.4780508,0.4780508,29.23,0.0,GEPA,IFBench_IFBenchCoT2StageProgram_Baseline_gpt-41-mini-openrouter_seed_0_final_eval,077f04r2
QA,IFBENCH,GPT-4.1-mini,Baseline,False,,,,,,,1.0,,300.0,,,,,,,,75.0,,,294.0,,,,,3.52,,ifbench-baseline-test,original_dspy_baseline_gpt41mini,vfjynj07
QA,IFBENCH,GPT-4.1-mini,Baseline,False,,,gepa_artifact.benchmarks.IFBench.ifbench_metric.metric_with_feedback,,,,1.0,,300.0,,,,,,,,48.3,,,294.0,,,,,14.02,,ifbench-baseline-test,original_dspy_baseline_gpt41mini,9e5vz6x5
QA,IFBENCH,GPT-4.1-mini,Baseline,False,,,gepa_artifact.benchmarks.IFBench.ifbench_metric.metric_with_feedback,,,,1.0,,300.0,,,,,,,,48.3,,,294.0,,,,,27.5,,ifbench-baseline-test,original_dspy_baseline_gpt41mini,vrx53i4m
QA,IFBENCH,GPT-4.1-mini,FSPO,False,,,,,,3.0,1.0,5.0,30.0,20.0,20.0,,,,,,76.19,3000.0,,294.0,,,,,60.52,,ifbench-dynamic-fewshot,dynamic_fewshot_gpt41mini_20iter_3shot,w5dkndzl
QA,IFBENCH,GPT-4.1-mini,FSPO,False,,,gepa_artifact.benchmarks.IFBench.ifbench_metric.metric_with_feedback,,generic_fewshot_only,3.0,1.0,1.0,30.0,20.0,20.0,,,,,,51.53,600.0,,294.0,,,,,157.5,,ifbench-dynamic-fewshot,dynamic_fewshot_gpt41mini_20iter_3shot,0tv7woty
QA,IFBENCH,GPT-4.1-mini,FSPO,False,,,gepa_artifact.benchmarks.IFBench.ifbench_metric.metric_with_feedback,,generic_fewshot_only,3.0,1.0,1.0,30.0,20.0,20.0,,,,,,48.81,600.0,,294.0,,,,,81.27,,ifbench-dynamic-fewshot,dynamic_fewshot_gpt41mini_20iter_3shot,oz2skszd
QA,IFBENCH,GPT-4.1-mini,GEPA,False,,,,GEPA,,,1.0,,,,,,,,,,49.83,,,294.0,5538588.0,2456765.0,7.516259200000007,7.516259200000007,24.82,0.0,GEPA,IFBench_IFBenchCoT2StageProgram_GEPA_gpt-41-mini-openrouter_seed_0_final_eval,wverd6or
QA,IFBENCH,GPT-4.1-mini,GEPA-MERGE,False,,,,GEPA-MERGE,,,1.0,,,,,,,,,,49.49,,,294.0,4665494.0,2168727.0,7.970855199999996,7.970855199999996,35.05,0.0,GEPA,IFBench_IFBenchCoT2StageProgram_GEPA-MERGE_gpt-41-mini-openrouter_seed_0_final_eval,34v07eo2
QA,IFBENCH,GPT-4.1-mini,MIPROv2-Heavy,False,,,,MIPROv2-Heavy,,,1.0,,,,,,,,,,51.19,,,294.0,9327210.0,2805191.0,8.324219199999991,8.324219199999991,36.05,0.0,GEPA,IFBench_IFBenchCoT2StageProgram_MIPROv2-Heavy_gpt-41-mini-openrouter_seed_0_final_eval,wxz5mpbs
QA,IFBENCH,Qwen3-8B,Baseline,False,,,,,,,1.0,,300.0,,,,,,,,73.81,,,294.0,,,,,33.5,,ifbench-baseline-test,original_dspy_baseline_qwen3-8b,lxer1u42
QA,IFBENCH,Qwen3-8B,Baseline,False,,,gepa_artifact.benchmarks.IFBench.ifbench_metric.metric_with_feedback,,,,1.0,,300.0,,,,,,,,38.61,,,294.0,,,,,60.18,,ifbench-baseline-test,original_dspy_baseline_qwen3-8b,sz313hux
QA,IFBENCH,Qwen3-8B,Baseline,False,,,gepa_artifact.benchmarks.IFBench.ifbench_metric.metric_with_feedback,,,,1.0,,300.0,,,,,,,,41.5,,,294.0,,,,,246.72,,ifbench-baseline-test,original_dspy_baseline_qwen3-8b,sm7lppk2
QA,IFBENCH,Qwen3-8B,Baseline,False,,,gepa_artifact.benchmarks.IFBench.ifbench_metric.metric_with_feedback,,,,1.0,,300.0,,,,,,,,41.5,,,294.0,,,,,122.33,,ifbench-baseline-test,original_dspy_baseline_qwen3-8b,6c88pleg
QA,IFBENCH,Qwen3-8B,FSPO,False,,,,,,3.0,1.0,5.0,30.0,20.0,20.0,,,,,,75.17,3000.0,,294.0,,,,,260.05,,ifbench-dynamic-fewshot,dynamic_fewshot_qwen3_8b_20iter_3shot,9ogkl1i5
QA,IFBENCH,Qwen3-8B,FSPO,False,,,gepa_artifact.benchmarks.IFBench.ifbench_metric.metric_with_feedback,,,3.0,1.0,1.0,30.0,20.0,20.0,,,,,,40.82,600.0,,294.0,,,,,205.2,,ifbench-dynamic-fewshot,dynamic_fewshot_qwen3_8b_20iter_3shot,8z2rfgr7
QA,IFBENCH,Qwen3-8B,FSPO,False,,,gepa_artifact.benchmarks.IFBench.ifbench_metric.metric_with_feedback,,,3.0,1.0,1.0,30.0,20.0,20.0,,,,,,38.95,600.0,,294.0,,,,,709.65,,ifbench-dynamic-fewshot,dynamic_fewshot_qwen3_8b_20iter_3shot,r9104ny9
QA,IFBENCH,Qwen3-8B,FSPO,False,,,gepa_artifact.benchmarks.IFBench.ifbench_metric.metric_with_feedback,,ifbench_two_stage,3.0,1.0,1.0,30.0,20.0,20.0,,,,,,43.88,600.0,,294.0,,,,,340.47,,ifbench-dynamic-fewshot,dynamic_fewshot_qwen3_8b_20iter_3shot,bfmewlrg
QA,PUPA,GPT-4.1-mini,Baseline,False,,,,Baseline,,,1.0,,,,,,,,,,80.81,,,221.0,293971.0,132112.0,0.3643003999999997,0.3643003999999997,38.6,0.0,GEPA,Papillon_PAPILLON_Baseline_gpt-41-mini-openrouter_seed_0_final_eval,c7evheyb
QA,PUPA,GPT-4.1-mini,Baseline,False,,,,,,,1.0,,,,,,,,,,77.37,,,221.0,,,,,6.05,,pupa-baseline-origin,baseline_gpt_threads32_breakdown,kd87hy29
QA,PUPA,GPT-4.1-mini,FSPO,False,,,,,,,1.0,,,20.0,,,,,,,94.09,,,,6325719.0,2018796.0,,2.1601354500000003,60.22,,pupa-dynamic-fewshot-origin,pupa_gpt_nobase_subset45_20iter,p16uyuga
QA,PUPA,GPT-4.1-mini,GEPA,False,,,,GEPA,,,1.0,,,,,,,,,,90.1,,,221.0,6746833.0,2119831.0,7.386323600000054,7.386323600000054,52.8,0.0,GEPA,Papillon_PAPILLON_GEPA_gpt-41-mini-openrouter_seed_0_final_eval,r52c9gta
QA,PUPA,GPT-4.1-mini,GEPA-MERGE,False,,,,GEPA-MERGE,,,1.0,,,,,,,,,,93.52,,,221.0,6183171.0,1938820.0,7.117388800000015,7.117388800000015,44.08,0.0,GEPA,Papillon_PAPILLON_GEPA-MERGE_gpt-41-mini-openrouter_seed_0_final_eval,y1lojof8
QA,PUPA,GPT-4.1-mini,MIPROv2-Heavy,False,,,,MIPROv2-Heavy,,,1.0,,,,,,,,,,83.59,,,221.0,8135085.0,1498755.0,5.857366399999996,5.857366399999996,39.03,0.0,GEPA,Papillon_PAPILLON_MIPROv2-Heavy_gpt-41-mini-openrouter_seed_0_final_eval,xj0qjc4s
