method,score,rer,tm_w,log2,rcei
MIPRO,56.846666666666664,12.700843406454135,27.106166666666667,4.6746026997320085,2.659134624531687
GEPA,61.135,24.15470190142074,28.362,4.732221995102865,5.302433802175815
GEPAM,60.525,24.865973311389002,24.066,4.5019044180302235,5.9026584943488745
FSPO,59.635,23.71560795686521,11.029833333333334,3.4382448923995352,6.98138277104001
