project,run_id,run_name,task,config_solver_model,runtime_mins,created_at,start,end,score_for_selection,overlap_count_same_model,overlap_run_ids
livebench-math-dynamic-fewshot,prmdtdw1,dynamic_fewshot_2iter_3shot,LiveBench-Math,openrouter/qwen/qwen3-8b,3.33,2026-05-10T14:58:19Z,2026-05-10 14:58:19+00:00,2026-05-10 15:01:38.800000+00:00,0.3175,0,
livebench-math-dynamic-fewshot,gs527dox,dynamic_fewshot_20iter_3shot,LiveBench-Math,openrouter/qwen/qwen3-8b,27.0,2026-05-10T15:17:24Z,2026-05-10 15:17:24+00:00,2026-05-10 15:44:24+00:00,0.3889,0,
livebench-math-dynamic-fewshot,xji9z2aa,dynamic_fewshot_20iter_3shot,LiveBench-Math,openrouter/qwen/qwen3-8b,27.37,2026-05-11T10:00:12Z,2026-05-11 10:00:12+00:00,2026-05-11 10:27:34.200000+00:00,0.2937,1,f8p7kmt5
livebench-math-dynamic-fewshot,f8p7kmt5,ablation_nofewshot_20iter,LiveBench-Math,openrouter/qwen/qwen3-8b,16.87,2026-05-11T10:01:40Z,2026-05-11 10:01:40+00:00,2026-05-11 10:18:32.200000+00:00,0.3095,1,xji9z2aa
livebench-math-dynamic-fewshot,1fm6356x,ablation_nofewshot_20iter,LiveBench-Math,openrouter/qwen/qwen3-8b,21.23,2026-05-11T10:42:51Z,2026-05-11 10:42:51+00:00,2026-05-11 11:04:04.800000+00:00,0.3333,1,qy66amuq
livebench-math-dynamic-fewshot,qy66amuq,dynamic_fewshot_20iter_3shot,LiveBench-Math,openrouter/qwen/qwen3-8b,26.63,2026-05-11T10:42:51Z,2026-05-11 10:42:51+00:00,2026-05-11 11:09:28.800000+00:00,0.3571,1,1fm6356x
livebench-math-dynamic-fewshot,4436w5h5,dynamic_fewshot_20iter_3shot,LiveBench-Math,openrouter/qwen/qwen3-8b,44.27,2026-05-11T12:52:14Z,2026-05-11 12:52:14+00:00,2026-05-11 13:36:30.200000+00:00,0.3333,1,86zmx5b0
aime-math-dynamic-fewshot,wmst5cop,dynamic_fewshot_20iter_3shot,AIME-2025,openrouter/qwen/qwen3-8b,49.35,2026-04-24T07:25:26Z,2026-04-24 07:25:26+00:00,2026-04-24 08:14:47+00:00,0.0,0,
aime-math-dynamic-fewshot,vwwcv2b0,dynamic_fewshot_20iter_3shot,AIME-2025,openrouter/qwen/qwen3-8b,2778.1,2026-04-30T13:10:58Z,2026-04-30 13:10:58+00:00,2026-05-02 11:29:04+00:00,0.5533,2,9ogkl1i5;7jl5dta0
aime-math-dynamic-fewshot,13xynbot,dynamic_fewshot_gpt41mini_20iter_3shot,AIME-2025,openrouter/openai/gpt-4.1-mini,234.58,2026-05-01T20:33:27Z,2026-05-01 20:33:27+00:00,2026-05-02 00:28:01.800000+00:00,0.5,0,
aime-math-dynamic-fewshot,8v2qjgrx,dspy_qwen3-8b_math-specific_fixed45val_20iter_3shot,AIME-2025,openrouter/qwen/qwen3-8b,3286.23,2026-05-03T16:57:17Z,2026-05-03 16:57:17+00:00,2026-05-05 23:43:30.800000+00:00,0.5333,1,bkpxngx5
aime-math-dynamic-fewshot,bkpxngx5,dspy_qwen3-8b_math-specific_fixed15val_20iter_3shot,AIME-2025,openrouter/qwen/qwen3-8b,2642.2,2026-05-03T18:28:53Z,2026-05-03 18:28:53+00:00,2026-05-05 14:31:05+00:00,0.46,1,8v2qjgrx
aime-math-dynamic-fewshot,86zmx5b0,dspy_qwen3-8b_math-specific_fixed15val_nothink_20iter_3shot_top1,AIME-2025,openrouter/qwen/qwen3-8b,3475.43,2026-05-11T12:00:33Z,2026-05-11 12:00:33+00:00,2026-05-13 21:55:58.800000+00:00,0.4733,1,4436w5h5
aime-math-dynamic-fewshot,mwjwwnoh,origin_gpt_nobase_fixed15val_64t_20iter_3shot_top1,AIME-2025,openrouter/openai/gpt-4.1-mini,105.97,2026-05-15T08:08:37Z,2026-05-15 08:08:37+00:00,2026-05-15 09:54:35.200000+00:00,0.48,0,
