model_short,task,n,input_tokens,output_tokens,estimated_cost_usd
GPT-4.1-mini,PUPA,1,6325719.0,2018796.0,5.7603612
GPT-4o-mini,PUPA,1,5096511.0,1402620.0,1.60604865
